key,bank,statement,agent,key:userAccount
errata-fundraiser-01,,Valid statement,true,
errata-fundraiser-02,"",Valid statement,true,
errata-fundraiser-03,"   ",Valid statement,true,
errata-fundraiser-04,"Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in repx",Valid statement,true,
errata-fundraiser-05,Valid Bank,,true,
errata-fundraiser-06,Valid Bank,"",true,
errata-fundraiser-07,Valid Bank,"   ",true,
errata-fundraiser-08,Valid Bank,"Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in repx",true,
errata-fundraiser-09,Valid Bank,Valid statement,,
errata-fundraiser-10,,,true,
errata-fundraiser-11,"   ","   ",true,
errata-fundraiser-12,"Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in repx","Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in repx",true,
errata-fundraiser-13,,Valid statement,,
errata-fundraiser-14,Valid Bank,,,
errata-fundraiser-15,,,,
