key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
#base sponsorship
sponsorship-00,"","","","","","",false,""
#bad ticker,"","","","","","","",""
sponsorship-01,xxAB12-abcdeyy,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-02,AB12-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-03,AB12-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-04,AB12-abcde\n,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-05,ab12-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-06,A12-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-07,ABC12-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-08,AB1-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-09,AB123-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-10,AB0x-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
