key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:spokesperson
# base entity
camp-00,CM00-SAMP00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,FALSE,spokesperson-01
# ticker variations
camp-01,CM01-SAMP01,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-02,CM02-SAMP02,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-03,CM03-SAMP03,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-04,CM04-SAMP04,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# name variations (ValidHeader: 1-255 chars)
camp-05,CM05-SAMP05,L,"Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-06,CM06-SAMP06,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-07,CM07-SAMP07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-08,CM08-SAMP08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# name - non-latin
camp-09,CM09-SAMP09,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-10,CM10-SAMP10,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-11,CM11-SAMP11,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# description variations (ValidText)
camp-12,CM12-SAMP12,"Lorem ipsum dolor sit amet, consectetur adipiscing",L,2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-13,CM13-SAMP13,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lo,2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
