key,name,notes,money,kind,key:sponsorship
donation-01,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST,sponsorship-01
donation-02,Lorem ipsum,L,EUR 500000.00,REWARDED,sponsorship-02
donation-03,Lorem ipsum,Lo,EUR 500000.00,CELEBRATED,sponsorship-03
donation-04,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 500000.00,ALTRUIST,sponsorship-04
donation-05,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 500000.00,REWARDED,sponsorship-05
donation-06,Lorem ipsum,โลเร็ม อิปซัม,EUR 500000.00,CELEBRATED,sponsorship-06
donation-07,Lorem ipsum,لوريم إيبسوم,EUR 500000.00,ALTRUIST,sponsorship-07
donation-08,Lorem ipsum,洛伦·伊普森,EUR 500000.00,REWARDED,sponsorship-08
donation-09,Lorem ipsum,<marquee>Hacked</marquee>,EUR 500000.00,CELEBRATED,sponsorship-09
donation-10,Lorem ipsum,<script>alert(‘Hacked!’);</script>,EUR 500000.00,ALTRUIST,sponsorship-10
donation-11,Lorem ipsum,' or 'A' = 'A ,EUR 500000.00,REWARDED,sponsorship-11
donation-12,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,CELEBRATED,sponsorship-01
donation-13,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.00,ALTRUIST,sponsorship-01
donation-14,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.01,REWARDED,sponsorship-01
donation-15,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 999999.99,CELEBRATED,sponsorship-01
donation-16,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 1000000.00,ALTRUIST,sponsorship-01
