key,address,im,gold,key:user-account
#base sponsor,"","","",""
sponsor-00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-01
#address-standard,"","","",""
sponsor-01,L,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-02
sponsor-02,Lo,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-03
sponsor-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-04
sponsor-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-05
sponsor-05,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-06
sponsor-06,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-07
sponsor-07,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-08
sponsor-08,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-09
sponsor-09,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-10
sponsor-10,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-11
#im-standard,"","","",""
sponsor-11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",L,true,user-account-sponsor-12
sponsor-12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",Lo,true,user-account-sponsor-13
sponsor-13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",true,user-account-sponsor-14
sponsor-14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",true,user-account-sponsor-15
sponsor-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",โลเร็ม อิปซัม,true,user-account-sponsor-16
sponsor-16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",لوريم إيبسوم,true,user-account-sponsor-17
sponsor-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",洛伦·伊普森,true,user-account-sponsor-18
sponsor-18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",<marquee>Hacked</marquee>,true,user-account-sponsor-19
sponsor-19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",<script>alert(‘Hacked!’);</script>,true,user-account-sponsor-20
sponsor-20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",' or 'A' = 'A,true,user-account-sponsor-21
